ID	Name	Desc
ID	成就名字	介绍
1	得道飞升	累计1人飞升
2	飞升达人	累计3人飞升
3	仙界熟客	累计5人飞升
4	仙名远扬	累计10人飞升
5	初出茅庐	累计历练1次
6	混迹红尘	累计历练100次
7	行遍千山	累计历练500次
8	驰骋天下	累计历练1000次
9	初试炼丹	累计炼丹1次
10	炼丹熟手	累计炼丹50次
11	丹门高人	累计炼丹100次
12	大丹师	累计炼丹500次
13	初试炼宝	累计炼宝1次
14	炼宝熟手	累计炼宝50次
15	炼宝高手	累计炼宝100次
16	宝尊者	累计炼宝500次
17	初试画符	累计画符1次
18	画符熟手	累计画符50次
19	画符高手	累计画符100次
20	符圣手	累计画符500次
21	杀念初生	累计击杀1名生灵
22	杀意凛然	累计击杀100名生灵
23	杀气纵横	累计击杀500名生灵
24	杀神	累计击杀1000名生灵
25	修真杀手	累计击杀修行者1人
26	修真克星	累计击杀修行者100人
27	修真屠夫	累计击杀修行者500人
28	弑仙者	累计击杀修行者1000人
29	初试搜魂	累计搜魂1人
30	搜魂熟手	累计搜魂10人
31	搜魂高人	累计搜魂50人
32	魂宗	累计搜魂100人
33	厨师	累计做出10种食物
34	大厨	累计做出20种食物
35	食神	累计做出50种食物
36	灵犀一闪	累计做出7阶的艺术品1个
37	灵思泉涌	累计做出7阶的艺术品10个
38	艺术家	累计做出7阶的艺术品50个
39	喜加一	累计说服1名旅人加入
40	喜加五	累计说服5名旅人加入
41	喜加十	累计说服10名旅人加入
42	了解一下	累计说服20名旅人加入
43	初学秘册	累计通过书册学会1本秘籍
44	博览群书	累计通过书册学会10本秘籍
45	学富五车	累计通过书册学会50本秘籍
46	百晓生	累计通过书册学会100本秘籍
47	不幸殒命	累计弟子死亡1人
48	祸不单行	累计弟子死亡5人
49	仙途多舛	累计弟子死亡10人
50	生死无常	累计弟子死亡50人
51	痛失爱徒	累计内门弟子死亡1人
52	痛上加痛	累计内门弟子死亡5人
53	痛彻心扉	累计内门弟子死亡10人
54	心碎	累计内门弟子死亡20人
55	我就是你	累计夺舍1人
56	我也是他	累计夺舍5人
57	众生皆我	累计夺舍10人
58	马甲王	累计夺舍20人
59	一瞬百年	累计入定100年
60	定中岁月	累计入定500年
61	不知春秋	累计入定1000年
62	遗世者	累计入定5000年
63	拿命来	累计吸别人寿命10年
