ID	Name	Desc
ID	名字	描述
1	私塾学子	[NAME]的童年受到过完整的文化教育。私塾学习的经历让[IT]了解了很多知识，也让[IT]充满文质彬彬的书卷气息。
2	孩子王	[NAME]出生在一个小山村，从小就调皮捣蛋，且富有领导力。[IT]经常领着一群孩子上山下地的玩耍，和邻村孩子打架。
3	父母双亡	[NAME]自小失去父母，流浪为生。艰苦的生活给与[IT]超出同龄人的体魄与反应。
4	失忆儿童	[NAME]小时候的记忆全部空白，每当[IT]尝试回忆，都会被剧烈的头痛打断。为了探索真相，[NAME]花了很多功夫研究文献传说，虽然至今没有找到原因，但是这些知识至少让[IT]拥有丰富的谈资。
5	大少爷	[NAME]是富贵人家的长子，享受着奢华的童年。[IT]从不干粗活，接受过非常完善而全面的教育。
6	大小姐	[NAME]是富贵人家的长女，享受着奢华的童年。[IT]从不干粗活，接受过非常完善而全面的教育。
7	书香门第	[NAME]出生在书香门第，从小接受文化的熏陶。但是常年的舞文弄墨也让[NAME]缺乏锻炼，身体比较瘦弱。
8	武林世家	[NAME]出身武术世家，自小接受严格的训练。在耳濡目染之下，对战斗的领悟非常深刻。
9	少年杀手	[NAME]是个孤儿，童年时期被杀手组织收养，一直接受冷血而残酷的杀手训练。直到杀手组织被毁灭才得以脱离组织。
10	青楼孩童	[NAME]出生在青楼中，不知道自己的父亲是谁。自小在市井间摸爬滚打让[IT]更懂得生存的规则。
11	工匠家庭	[NAME]在一个手艺人家庭中长大，耳濡目染之下，[IT]从小就喜欢动手做一些小东西。
12	屠夫的孩子	[NAME]在一个屠户家庭中长大，[IT]有时候也会帮着家里干活。这些经历让[IT]又凶又壮。
13	农户长子	[NAME]是一个农民家庭的长子，家庭的艰难让[IT]从小就很懂事，力所能及的参与劳作。
14	郎中学徒	[NAME]从小跟着一个游方郎中长大，[IT]们的足迹从南到北，踏过许多地方。这些经历让[IT]见多识广。
15	官宦世家	[NAME]出身在官宦家庭，见惯了权力斗争的虚情假意。[IT]从小就特别擅长博得别人好感，但是也从来不会交心。
16	观星者	[NAME]出生在一个天文官家庭中，受父亲影响，[IT]从小就对星象感兴趣。为此[IT]的童年沉浸在星图和理论书籍中。
17	游历各国	[NAME]的父亲是朝廷出使西域的使者，[IT]经常跟着父亲游历各国，这让[IT]对世界充满向往和兴趣。
18	娈童	[NAME]是富贵人家豢养的娈童，这段童年的经历让[IT]内心对男人与女人的亲密关系都感到惧怕。
19	铁匠铺童工	[NAME]从小被卖给铁匠铺当童工，[IT]听着叮叮当当的声音长大，渴望长大成为真正的铁匠。
20	水猴子	[NAME]是渔船上长大的孩子，[IT]从小就喜欢水。童年的经历也让[IT]拥有矫健的身手。
21	音乐天才	[NAME]出生在一个音乐家庭，[IT]继承了优秀的基因，拥有非常超群的艺术天赋。
22	邪魔之子	[NAME]的母亲被邪魔所诱骗，因而怀孕生下[IT]。[IT]的身体里也流着一半邪魔的血脉，这让[IT]长相难看，受尽歧视。
23	生显异像	[NAME]出生秉承世界的气运，天地间风云涌动，金光闪烁，夜如白昼。[IT]注定受到上天眷顾。
24	杀星降世	[NAME]是天上七杀星转世，天生就是为了杀戮战斗而生。
25	天纵之才	[NAME]聪明绝世，是天纵的奇才。无论学什么，[IT]都能很快精通。但是[IT]却有天生的残疾，经脉残缺，无法修行。
26	牧童	[NAME]从小给地主家放牧。但[IT]一直觉得命运对自己不公平，[IT]应该做出一番更大的事业。
