Key	Value
[NAME]掳走了几个凡人。幸运的是，此事滴水不漏，无人察觉。	[NAME]掳走了几个凡人。幸运的是，此事滴水不漏，无人察觉。
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，宣扬开来。	[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，宣扬开来。
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，竟然被一伙正派人士知晓，竟然一路追索，找上门来。	[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，竟然被一伙正派人士知晓，竟然一路追索，找上门来。
[SCHOOL]的弟子见到[NAME]连忙上来拜见，[NAME]心情不错，顺手指点了这些晚辈一些修为上的事。分别时，[SCHOOL]的弟子恭敬的邀请你来他们门派做客。	[SCHOOL]的弟子见到[NAME]连忙上来拜见，[NAME]心情不错，顺手指点了这些晚辈一些修为上的事。分别时，[SCHOOL]的弟子恭敬的邀请你来他们门派做客。
[NAME]和[SCHOOL]的弟子热情的交谈，双方一起到附近有名的酒楼畅饮一番。临分别时，[SCHOOL]的弟子硬是送了你一些当地特产的礼物，并邀请你有空再来[SCHOOL]转转。	[NAME]和[SCHOOL]的弟子热情的交谈，双方一起到附近有名的酒楼畅饮一番。临分别时，[SCHOOL]的弟子硬是送了你一些当地特产的礼物，并邀请你有空再来[SCHOOL]转转。
[NAME]和[SCHOOL]的弟子打了声招呼，大家在路边聊了聊修行界最近发生的趣事，并约好下次互相拜访。	[NAME]和[SCHOOL]的弟子打了声招呼，大家在路边聊了聊修行界最近发生的趣事，并约好下次互相拜访。
[NAME]对[SCHOOL]的弟子点头示意，对方看了[NAME]一眼，也点了点头。	[NAME]对[SCHOOL]的弟子点头示意，对方看了[NAME]一眼，也点了点头。
[SCHOOL]的弟子很愤怒，并放出狠话让[NAME]和他的宗门最近小心点。	[SCHOOL]的弟子很愤怒，并放出狠话让[NAME]和他的宗门最近小心点。
[SCHOOL]的弟子很诧异的看了[NAME]一眼，不知道为何他会说出这无礼的言论。	[SCHOOL]的弟子很诧异的看了[NAME]一眼，不知道为何他会说出这无礼的言论。
[SCHOOL]的弟子冷笑两声，掏出法宝向[NAME]发起了攻击。[NAME]考虑身处敌人门派所在地，不欲恋战，施了个手法脱身而去。	[SCHOOL]的弟子冷笑两声，掏出法宝向[NAME]发起了攻击。[NAME]考虑身处敌人门派所在地，不欲恋战，施了个手法脱身而去。
[SCHOOL]的弟子勃然大怒，掏出法宝准备动手，但似乎顾忌什么，最终留下狠话悻悻离开。	[SCHOOL]的弟子勃然大怒，掏出法宝准备动手，但似乎顾忌什么，最终留下狠话悻悻离开。
[NAME]忙于赶路，匆匆离去了。	[NAME]忙于赶路，匆匆离去了。
[SCHOOL]的弟子上来跟[NAME]打了个招呼，却见[NAME]神色冷漠的匆匆离去，心中略有不满。	[SCHOOL]的弟子上来跟[NAME]打了个招呼，却见[NAME]神色冷漠的匆匆离去，心中略有不满。
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。
