ID	Name	Desc	Gong	GrandMaster
100000后不可用	门派名字	介绍	门派功法 随便填 没实体	祖师
1	丹霞洞天	上清于人间界嫡传，坐落于丹霞山绝顶，乃是正道砥柱。丹霞派精通法宝炼制之术，派中镇派十大神剑皆为十品以上的无上神兵。	己寅九冲多宝真解	灵宝天尊
2	昆仑宫	玉清元始所传人间道统，雄踞龙脉祖庭昆仑山之麓，乃是正道砥柱。昆仑派所修玉清仙法以法力雄浑见长，其门人弟子众多，可称正道第一大派。	玉清仙法	元始天尊
3	极天宫	地处天极峰的隐世门派，派中只收俊男美女。其门派秘法以情入道，先有情后忘情，以此臻至太上境界，给修行界留下众多痴男怨女。	太上忘情道	明尊
4	紫霄宗	坐落在九华山的正道大派。	紫霞真法	紫霞真人
5	正一道	坐落在龙虎山的正道大派。	五雷天心正法	正一道人
6	青莲剑宗	坐落在蜀山的正道大派。	太白神剑	青莲仙尊
7	栖霞洞天	坐落在五莲山的正道大派。	云笈秘箓	五莲真人
8	百蛮山	坐落在百蛮山的邪教。	百毒真经	绿袍老祖
9	七仟坞	坐落在陷空山的邪教，信奉大地之母。派中秘典两极大法，可以将地壳深处的元磁之气炼入躯体形成磁场，如果未练同种功法的人靠近其百丈范围，都会感到功法运转不灵，极端不适。因此该教派极难渗透，在修行界都非常神秘。	两极大法	天残老人
10	七杀魔宫	坐落在黑山的邪教巨擘。	七杀剑诀	七杀道人
11	合欢派	坐落在合欢岛的邪教。	六欲心经	金灵夫人
12	万妖殿	坐落在西荒大漠深处的邪教巨擘。	化形诀	蛇帝
